srcStateName,srcDistrictName,District and Taluk Court Case type,Pending cases for a period of 0 to 1 Years,Pending cases for a period of 1 to 3 Years,Pending cases for a period of 3 to 5 Years,Pending cases for a period of 5 to 10 Years,Pending cases for a period of 10 to 20 Years,Pending cases for a period of 20 to 30 Years,Pending cases over 30 Years,Pending cases,Original pending cases,Pending Appeal cases,Pending Application cases,Pending Execution cases,Cases pending at Appearance or Service-Related stage,Cases pending at Compliance or Steps or stay stage,Cases pending at Evidence or Argument or Judgement stage,Cases pending at Pleadings or Issues or Charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by Senior Citizens,Cases filed by women,Cases delayed in disposal,Year
Rajasthan,Jaipur Metro I,Civil,16441,14301,7313,8282,3133,384,87,49941,30583,1771,9014,8573,22409,8920,16218,2056,1432,2581,3866,6456,24329,2021
Rajasthan,Jaipur Metro I,Criminal,56394,44777,18727,22058,8977,708,12,151653,142174,4412,5069,0,87118,6009,50706,7538,8849,8735,1074,4487,63907,2021
Rajasthan,Jaipur Metro I,Total,72835,59078,26040,30340,12110,1092,99,201594,172757,6183,14083,8573,109527,14929,66924,9594,10281,11316,4940,10943,88236,2021
Rajasthan,Jaipur Metro II,Civil,15301,9552,5139,6119,2713,962,102,39888,21149,1328,9613,7806,10858,15701,12279,907,1646,1477,3656,4162,20716,2021
Rajasthan,Jaipur Metro II,Criminal,75316,48436,23962,24408,8815,270,2,181209,174242,3826,3165,0,129787,6583,40019,4784,7565,10436,1233,3626,78967,2021
Rajasthan,Jaipur Metro II,Total,90617,57988,29101,30527,11528,1232,104,221097,195391,5154,12778,7806,140645,22284,52298,5691,9211,11913,4889,7788,99683,2021
Rajasthan,Jaiselmer,Civil,632,622,377,564,64,0,0,2259,1007,71,408,773,1206,273,639,133,75,75,230,386,1425,2021
Sikkim,Gangtok,Criminal,548,258,8,0,4,0,0,818,717,10,91,0,71,66,584,84,168,144,7,43,19,2021
Rajasthan,Jaiselmer,Criminal,2509,3495,2193,1440,71,0,0,9708,9081,250,377,0,2957,210,4959,1579,690,621,94,170,6398,2021
Rajasthan,Jaiselmer,Total,3141,4117,2570,2004,135,0,0,11967,10088,321,785,773,4163,483,5598,1712,765,696,324,556,7823,2021
Rajasthan,Jalore,Civil,1622,1389,677,632,75,1,0,4396,2783,277,819,517,1677,877,1439,387,197,154,958,887,2188,2021
Rajasthan,Jalore,Criminal,4607,4915,2966,2795,272,4,0,15559,13728,835,996,0,4328,598,7896,2729,1300,1056,217,522,9140,2021
Rajasthan,Jalore,Total,6229,6304,3643,3427,347,5,0,19955,16511,1112,1815,517,6005,1475,9335,3116,1497,1210,1175,1409,11328,2021
Rajasthan,Jhalawar,Civil,2131,1850,888,542,66,5,1,5483,3668,145,730,940,2267,892,1330,571,238,222,774,1040,2571,2021
Rajasthan,Jhalawar,Criminal,9021,9576,5547,4447,252,2,0,28845,25125,272,3448,0,7069,1256,14663,5821,1727,2011,223,1447,14369,2021
Rajasthan,Jhalawar,Total,11152,11426,6435,4989,318,7,1,34328,28793,417,4178,940,9336,2148,15993,6392,1965,2233,997,2487,16940,2021
Rajasthan,Jhunjhunu,Civil,4104,3186,1036,983,107,6,0,9422,6157,410,1462,1393,3964,1448,3105,797,511,491,2030,1862,4380,2021
Rajasthan,Jhunjhunu,Criminal,7848,6936,3832,3430,301,4,1,22352,18611,559,3182,0,6672,1416,12259,1973,1932,1979,431,1888,11901,2021
Rajasthan,Jhunjhunu,Total,11952,10122,4868,4413,408,10,1,31774,24768,969,4644,1393,10636,2864,15364,2770,2443,2470,2461,3750,16281,2021
Rajasthan,Jodhpur District,Civil,1479,1779,1056,1017,146,6,2,5485,2953,181,1069,1282,2111,1483,1606,184,89,179,749,458,3045,2021
Rajasthan,Jodhpur District,Criminal,4467,5978,3822,4299,1592,10,1,20169,18728,364,1077,0,4599,1038,10394,4124,771,3148,87,180,12067,2021
Rajasthan,Jodhpur District,Total,5946,7757,4878,5316,1738,16,3,25654,21681,545,2146,1282,6710,2521,12000,4308,860,3327,836,638,15112,2021
Rajasthan,Jodhpur Metro,Civil,7162,6693,4722,4758,1476,184,47,25042,14209,752,3105,6976,8983,7022,7917,699,740,1132,2207,3870,7180,2021
Rajasthan,Jodhpur Metro,Criminal,19856,24436,16476,11427,2339,64,3,74601,68067,1687,4846,0,39271,11809,19639,3801,2889,3490,654,4342,21944,2021
Rajasthan,Jodhpur Metro,Total,27018,31129,21198,16185,3815,248,50,99643,82276,2439,7951,6976,48254,18831,27556,4500,3629,4622,2861,8212,29124,2021
Rajasthan,Karauli,Civil,1851,1372,986,816,195,7,2,5229,3443,232,850,704,1920,926,1774,558,141,337,1106,636,3012,2021
Rajasthan,Karauli,Criminal,6120,6209,4635,4128,546,8,3,21649,18601,449,2599,0,5982,1239,12010,2413,1249,1581,228,656,13671,2021
Rajasthan,Karauli,Total,7971,7581,5621,4944,741,15,5,26878,22044,681,3449,704,7902,2165,13784,2971,1390,1918,1334,1292,16683,2021
Rajasthan,Kota,Civil,6461,5600,4085,4061,1084,207,5,21503,12541,1159,3580,4223,8032,4429,7840,1048,670,853,2842,3452,12105,2021
Rajasthan,Kota,Criminal,17609,22528,12714,12870,4005,116,3,69845,59299,2443,8080,0,28470,4732,29706,6828,4383,5183,1283,5635,40388,2021
Rajasthan,Kota,Total,24070,28128,16799,16931,5089,323,8,91348,71840,3602,11660,4223,36502,9161,37546,7876,5053,6036,4125,9087,52493,2021
Rajasthan,Merta Nagaur,Civil,4748,3975,2287,2048,420,21,12,13511,8427,1035,2474,1575,5588,2326,4618,769,705,1091,2636,2099,7411,2021
Rajasthan,Merta Nagaur,Criminal,9419,9633,5308,3893,348,10,1,28612,23085,2089,3438,0,8263,2863,14395,2931,2394,2542,564,1634,16036,2021
